Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
20,1,,,,0,14,0,,,32.9,,,231,,,204,,3,0,6.5,,19.2,,2021-01-31T14:00:00Z,,,,90,,,10,0,,0,0,,0,21,0,1052669,,,,3,1,13.0,5,101184,164402,63218,72,True,,0,4,3,,,,,
21,2,,,,2,36,1,,,51.6,,,231,,,211,,0,0,11.3,,48.8,,2021-02-03T18:00:00Z,,,,90,,,8,0,,0,0,,0,22,0,1142081,,,,2,0,13.0,11,83839,130100,46261,73,False,,0,4,2,,,,,
22,0,,,,0,4,1,,,19.3,,,231,,,228,,0,0,10.2,,13.8,,2021-02-07T14:00:00Z,,,,90,,,20,0,,0,0,,0,23,0,1346312,,,,0,0,69.0,2,192545,220417,27872,74,False,,1,4,3,,,,,
23,0,,,,1,32,0,,,24.6,,,231,,,234,,1,1,8.8,,42.4,,2021-02-13T12:30:00Z,,,,90,,,11,0,,0,0,,0,24,0,1205419,,,,1,3,21.0,8,-131568,82701,214269,74,True,,0,4,4,,,,,
24,0,,,,2,30,0,,,6.6,,,231,,,240,,1,1,8.9,,40.2,,2021-02-21T14:05:00Z,,,,63,,,2,0,,0,0,,0,25,0,1295526,,,,2,1,42.0,9,65076,119305,54229,73,False,,0,4,3,,,,,
25,0,,,,0,0,0,,,0.0,,,231,,,253,,0,0,0.0,,0.0,,2021-02-28T12:00:00Z,,,,0,,,1,0,,0,0,,0,26,0,882507,,,,3,1,0.0,0,-397634,67434,465068,73,True,,0,4,3,,,,,
26,0,,,,0,0,0,,,0.0,,,231,,,280,,0,0,0.0,,0.0,,2021-03-03T18:00:00Z,,,,0,,,4,0,,0,0,,0,26,0,882507,,,,1,1,0.0,0,-397634,67434,465068,73,False,,0,4,2,,,,,
27,0,,,,0,0,0,,,0.0,,,231,,,260,,0,0,0.0,,0.0,,2021-03-06T20:00:00Z,,,,0,,,3,0,,0,0,,0,27,0,570292,,,,2,1,0.0,0,-327472,8583,336055,72,False,,0,4,3,,,,,
28,0,,,,0,0,0,,,0.0,,,231,,,274,,0,0,0.0,,0.0,,2021-03-14T14:00:00Z,,,,0,,,15,0,,0,0,,0,28,0,393212,,,,0,5,0.0,0,-179789,855,180644,71,True,,0,4,2,,,,,
29,0,,,,0,2,0,,,1.4,,,231,,,294,,1,0,2.2,,2.2,,2021-04-03T16:30:00Z,,,,18,,,12,0,,0,0,,0,30,0,362766,,,,2,0,18.0,1,9458,26346,16888,71,True,,0,4,4,,,,,
