Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
11,0,,,,0,5,0,,,4.9,,,214,,,114,,3,0,7.2,,4.6,,2019-11-10T16:30:00Z,,,,90,,,10,0,,0,0,,0,12,0,2598151,,,,1,3,62.0,2,-158306,22450,180756,121,False,,0,4,5,,,,,
12,0,,,,0,10,0,,,4.4,,,214,,,127,,1,0,1.9,,8.4,,2019-11-23T17:30:00Z,,,,90,,,6,0,,0,0,,0,13,0,2395574,,,,1,2,6.0,2,-215686,31784,247470,120,True,,0,4,4,,,,,
13,0,,,,0,20,0,,,34.8,,,214,,,136,,2,1,17.4,,46.0,,2019-11-30T12:30:00Z,,,,90,,,13,0,,0,0,,0,14,0,2162216,,,,2,2,93.0,7,-240668,12861,253529,120,False,,0,4,2,,,,,
14,0,,,,0,7,1,,,8.3,,,214,,,142,,0,0,9.9,,10.0,,2019-12-03T20:15:00Z,,,,71,,,5,0,,0,0,,0,15,0,2126304,,,,4,1,81.0,3,-47594,18968,66562,119,False,,0,4,3,,,,,
15,0,,,,0,11,0,,,30.6,,,214,,,155,,2,0,11.9,,18.8,,2019-12-07T17:30:00Z,,,,90,,,12,0,,0,0,,0,16,0,1934947,,,,2,1,70.0,2,-190756,11439,202195,119,True,,0,4,4,,,,,
16,0,,,,2,31,1,,,31.4,,,214,,,161,,0,1,12.0,,37.4,,2019-12-15T16:30:00Z,,,,90,,,1,0,,0,0,,0,17,0,1702237,,,,3,0,51.0,10,-233528,7427,240955,118,False,,0,4,4,,,,,
17,1,,,,0,16,0,,,36.3,,,214,,,175,,1,0,11.3,,7.4,,2019-12-21T17:30:00Z,,,,88,,,9,0,,0,0,,0,18,0,1855784,,,,1,3,69.0,5,98328,146472,48144,118,True,,0,4,3,,,,,
18,0,,,,0,26,0,,,1.8,,,214,,,190,,3,2,12.9,,67.2,,2019-12-27T19:45:00Z,,,,90,,,20,0,,1,0,,0,19,0,1770703,,,,2,3,60.0,10,-42327,49727,92054,118,False,,0,4,3,,,,,
19,0,,,,0,12,1,,,26.2,,,214,,,195,,0,0,5.0,,5.6,,2019-12-29T18:00:00Z,,,,87,,,15,0,,0,0,,0,20,0,1760769,,,,0,2,18.0,3,-13659,30655,44314,118,True,,0,4,3,,,,,
20,0,,,,0,3,0,,,0.0,,,214,,,205,,0,0,0.0,,0.0,,2020-01-01T17:30:00Z,,,,1,,,8,0,,0,0,,0,21,0,1709126,,,,1,2,0.0,1,-54309,35530,89839,118,True,,0,4,2,,,,,
21,0,,,,0,0,0,,,0.0,,,214,,,211,,0,0,0.0,,0.0,,2020-01-12T16:30:00Z,,,,0,,,2,0,,0,0,,0,22,0,1658006,,,,6,1,0.0,0,-54967,41911,96878,118,False,,0,4,2,,,,,
22,0,,,,0,9,0,,,13.5,,,214,,,225,,1,0,6.6,,0.0,,2020-01-18T15:00:00Z,,,,88,,,7,0,,0,0,,0,23,0,1547088,,,,2,2,52.0,2,-112361,23562,135923,118,True,,0,4,3,,,,,
23,0,,,,0,2,1,,,9.0,,,214,,,236,,0,0,6.1,,0.0,,2020-01-21T19:30:00Z,,,,90,,,15,0,,0,0,,0,24,0,1391944,,,,1,0,54.0,3,-146080,7340,153420,117,False,,0,4,3,,,,,
24,0,,,,0,7,0,,,27.8,,,214,,,248,,2,0,6.0,,4.4,,2020-02-02T16:30:00Z,,,,83,,,17,0,,0,0,,0,25,0,1391263,,,,0,2,28.0,1,-14451,59120,73571,117,False,,1,4,4,,,,,
25,0,,,,0,0,0,,,0.0,,,214,,,256,,0,0,0.0,,0.0,,2020-02-19T19:30:00Z,,,,0,,,19,0,,0,0,,0,26,0,1213228,,,,0,2,0.0,0,-176083,7318,183401,117,True,,0,4,2,,,,,
26,0,,,,0,0,0,,,0.0,,,214,,,265,,0,0,0.0,,0.0,,2020-02-22T17:30:00Z,,,,0,,,9,0,,0,0,,0,27,0,1125089,,,,1,0,0.0,0,-90521,801,91322,117,False,,0,4,3,,,,,
27,0,,,,0,0,0,,,15.1,,,214,,,287,,2,0,6.2,,12.4,,2020-03-08T16:30:00Z,,,,90,,,12,0,,0,0,,0,29,0,1174941,,,,0,2,34.0,2,54673,65423,10750,117,False,,0,4,4,,,,,
