Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
32,32,32,32.0,2,,,,2,43,1,,,29.0,,,100,,,328,,0,0,7.9,,44.2,,2021-04-25T11:00:00Z,,,,90,,,20,0,,0,0,,0,33,0,31525,,,,4,0,6.0,11,-199,1134,1333,57,False,,0,2,3,33,2020-21,,,,,,Dwight_McNeil
33,33,33,33.0,0,,,,0,6,0,,,3.5,,,100,,,330,,2,0,1.2,,6.2,,2021-05-03T19:15:00Z,,,,74,,,19,0,,0,0,,0,34,0,38634,,,,2,1,2.0,2,6779,7924,1145,57,True,,0,2,4,34,2020-21,,,,,,Dwight_McNeil
34,34,34,34.0,0,,,,0,10,1,,,42.8,,,100,,,341,,0,0,5.7,,14.2,,2021-05-10T19:00:00Z,,,,90,,,8,0,,0,0,,0,35,0,36978,,,,2,0,0.0,3,-1482,2206,3688,57,False,,0,2,2,35,2020-21,,,,,,Dwight_McNeil
35,35,35,35.0,0,,,,0,9,0,,,5.2,,,100,,,350,,2,0,3.5,,9.4,,2021-05-15T11:30:00Z,,,,69,,,10,0,,0,0,,0,36,0,39643,,,,4,0,20.0,2,2283,4083,1800,57,True,,0,2,3,36,2020-21,,,,,,Dwight_McNeil
36,36,36,36.0,0,,,,0,14,0,,,30.9,,,100,,,360,,3,0,5.0,,12.4,,2021-05-19T19:15:00Z,,,,90,,,11,0,,0,0,,0,37,0,36471,,,,3,0,7.0,2,-3046,645,3691,57,True,,0,2,4,37,2020-21,,,,,,Dwight_McNeil
37,37,37,37.0,0,,,,0,7,0,,,21.3,,,100,,,376,,1,0,6.6,,18.2,,2021-05-23T15:00:00Z,,,,69,,,15,0,,0,0,,0,38,0,43776,,,,0,1,26.0,2,6903,8993,2090,57,False,,0,2,2,38,2020-21,,,,,,Dwight_McNeil
0,0,0,0.0,0,,,,0,10,0,,,30.6,,,118,,,2,,2,0,5.2,,21.6,,2021-08-14T14:00:00Z,,,,78,,,4,0,,0,0,,0,1,0,20227,,,,2,1,0.0,2,0,0,0,60,True,,0,2,2,1,2021-22,,,,,,Dwight_McNeil
1,1,1,1.0,0,,,,0,17,0,,,16.2,,,118,,,15,,2,0,6.5,,26.6,,2021-08-21T11:30:00Z,,,,90,,,11,0,,0,0,,0,2,0,18186,,,,0,2,22.0,2,-3850,699,4549,60,False,,0,2,5,2,2021-22,,,,,,Dwight_McNeil
2,2,2,2.0,0,,,,1,24,0,,,25.8,,,118,,,29,,1,0,6.0,,23.0,,2021-08-29T13:00:00Z,,,,90,,,10,0,,0,0,,0,3,0,18936,,,,1,1,11.0,3,-472,2817,3289,59,True,,0,2,2,3,2021-22,,,,,,Dwight_McNeil
3,3,3,3.0,0,,,,0,24,0,,,29.3,,,118,,,35,,3,0,7.7,,26.2,,2021-09-13T19:00:00Z,,,,90,,,8,0,,0,0,,0,4,0,18366,,,,1,3,21.0,2,-1597,2420,4017,59,False,,0,2,2,4,2021-22,,,,,,Dwight_McNeil
4,4,4,4.0,0,,,,0,13,0,,,49.3,,,118,,,43,,1,0,8.8,,24.6,,2021-09-18T14:00:00Z,,,,90,,,1,0,,0,0,,0,5,0,18686,,,,1,0,14.0,2,-402,2424,2826,59,True,,0,2,4,5,2021-22,,,,,,Dwight_McNeil
5,5,5,5.0,0,,,,0,8,0,,,2.4,,,118,,,57,,2,0,2.0,,16.0,,2021-09-25T14:00:00Z,,,,86,,,9,0,,0,0,,0,6,0,17192,,,,2,2,2.0,2,-1882,916,2798,59,False,,0,2,3,6,2021-22,,,,,,Dwight_McNeil
6,6,6,6.0,0,,,,0,8,1,,,7.3,,,118,,,62,,0,0,4.4,,20.4,,2021-10-02T14:00:00Z,,,,90,,,15,0,,0,0,,0,7,0,22341,,,,0,0,16.0,3,3915,6410,2495,59,True,,0,2,2,7,2021-22,,,,,,Dwight_McNeil
7,7,7,7.0,0,,,,0,21,0,,,29.7,,,118,,,76,,2,0,4.1,,11.6,,2021-10-16T14:00:00Z,,,,90,,,12,0,,0,0,,0,8,0,18274,,,,0,2,0.0,2,-3706,831,4537,59,False,,0,2,5,8,2021-22,,,,,,Dwight_McNeil
8,8,8,8.0,0,,,,0,7,0,,,12.5,,,118,,,89,,2,0,4.0,,14.0,,2021-10-23T14:00:00Z,,,,90,,,16,0,,0,0,,0,9,0,17828,,,,2,2,13.0,2,-798,899,1697,59,False,,0,2,3,9,2021-22,,,,,,Dwight_McNeil
9,9,9,9.0,1,,,,0,17,0,,,14.9,,,118,,,92,,1,0,4.4,,26.8,,2021-10-30T14:00:00Z,,,,90,,,3,0,,0,0,,0,10,0,17201,,,,1,3,2.0,4,-837,1038,1875,58,True,,1,2,2,10,2021-22,,,,,,Dwight_McNeil
